#CODIGO,DATA_INICIO,DATA_FIM,FINALIDADE,ATIVIDADE,MODALIDADE,PRODUTO,VARIEDADE,CESTA,ZONEAMENTO,UNIDADE_MEDIDA,UNIDADE_MEDIDA_PREVISAO,CONSORCIO,CEDULA_MAE,CD_TIPO_CULTURA
"12018888000002","07/01/2020",,"Custeio","Agrícola","LAVOURA","CITRONELA (CYMBOPOGON NARDUS)","NÃO SE APLICA","Ano Civil / Ano de Exploração","Não zoneado","Hectare","Tonelada","Não consorciado",0,2
"12017340000043","16/03/2017",,"Custeio","Agrícola","LAVOURA","VIME","NÃO SE APLICA","Fruticultura / Olericultura",,"Hectare","Tonelada","Não consorciado",0,2
"12017340000042","01/01/1984",,"Custeio","Agrícola","LAVOURA","VIME","NÃO SE APLICA","Fruticultura / Olericultura","Não zoneado","Hectare","Tonelada","Não consorciado",0,2
"12017321000442","31/10/2018",,"Custeio","Agrícola","LAVOURA","LONGAN","NÃO SE APLICA","Fruticultura / Olericultura","Não zoneado","Hectare","Tonelada","Valor inválido",0,2
"12017321000443","31/10/2018",,"Custeio","Agrícola","LAVOURA","LONGAN","NÃO SE APLICA","Fruticultura / Olericultura",,"Hectare","Tonelada","Valor inválido",0,2
"12017321000452","31/10/2018",,"Custeio","Agrícola","LAVOURA","LONGAN","NÃO SE APLICA","Irrigadas","Não zoneado","Hectare","Tonelada","Valor inválido",0,2
"12017320000043","16/03/2017",,"Custeio","Agrícola","LAVOURA","VAGEM","NÃO SE APLICA","Fruticultura / Olericultura",,"Hectare","Tonelada","Não consorciado",0,4
"12017320000053","16/03/2017",,"Custeio","Agrícola","LAVOURA","VAGEM","NÃO SE APLICA","Irrigadas",,"Hectare","Tonelada","Não consorciado",0,4
"12017320000052","01/01/1984",,"Custeio","Agrícola","LAVOURA","VAGEM","NÃO SE APLICA","Irrigadas","Não zoneado","Hectare","Tonelada","Não consorciado",0,4
"12017320000042","01/01/1984",,"Custeio","Agrícola","LAVOURA","VAGEM","NÃO SE APLICA","Fruticultura / Olericultura","Não zoneado","Hectare","Tonelada","Não consorciado",0,4
"12017280000053","13/03/2017",,"Custeio","Agrícola","LAVOURA","UVA","NÃO SE APLICA","Irrigadas",,"Hectare","Tonelada","Não consorciado",0,2
"12017280000842","01/07/2004","28/02/2018","Custeio","Agrícola","LAVOURA","UVA","NÃO SE APLICA","Fruticultura / Olericultura","Não zoneado","Hectare","Tonelada","Consorciado",0,2
"12017280000052","01/01/1984","28/02/2019","Custeio","Agrícola","LAVOURA","UVA","NÃO SE APLICA","Irrigadas","Não zoneado","Hectare","Tonelada","Não consorciado",0,2
"12017240000052","01/01/2010",,"Custeio","Agrícola","LAVOURA","URUCUM","NÃO SE APLICA","Irrigadas","Não zoneado","Hectare","Tonelada","Não consorciado",0,2
"12017240000043","16/03/2017",,"Custeio","Agrícola","LAVOURA","URUCUM","NÃO SE APLICA","Fruticultura / Olericultura",,"Hectare","Tonelada","Não consorciado",0,2
"12017240000042","07/01/2007",,"Custeio","Agrícola","LAVOURA","URUCUM","NÃO SE APLICA","Fruticultura / Olericultura","Não zoneado","Hectare","Tonelada","Não consorciado",0,2
"12017240000053","03/02/2021",,"Custeio","Agrícola","LAVOURA","URUCUM","NÃO SE APLICA","Irrigadas",,"Hectare","Tonelada","Não consorciado",0,2
"12017200000042","01/01/1984",,"Custeio","Agrícola","LAVOURA","TUNGUE","NÃO SE APLICA","Fruticultura / Olericultura","Não zoneado","Hectare","Tonelada","Não consorciado",0,2
"12017140000033","16/03/2017",,"Custeio","Agrícola","LAVOURA","TRITICALE","NÃO SE APLICA","Safra de Inverno (3ª Safra)",,"Hectare","Tonelada","Não consorciado",0,3
"12017140000052","01/01/1984",,"Custeio","Agrícola","LAVOURA","TRITICALE","NÃO SE APLICA","Irrigadas","Não zoneado","Hectare","Tonelada","Não consorciado",0,3
"12017140000032","01/01/1984",,"Custeio","Agrícola","LAVOURA","TRITICALE","NÃO SE APLICA","Safra de Inverno (3ª Safra)","Não zoneado","Hectare","Tonelada","Não consorciado",0,3
"12017140000031","19/11/2021",,"Custeio","Agrícola","LAVOURA","TRITICALE","NÃO SE APLICA","Safra de Inverno (3ª Safra)","Zoneado","Hectare","Tonelada","Não consorciado",0,3
"12017140000053","03/02/2021",,"Custeio","Agrícola","LAVOURA","TRITICALE","NÃO SE APLICA","Irrigadas",,"Hectare","Tonelada","Não consorciado",0,3
"12017140000051","19/11/2021",,"Custeio","Agrícola","LAVOURA","TRITICALE","NÃO SE APLICA","Irrigadas","Zoneado","Hectare","Tonelada","Não consorciado",0,3
"12017110000012","24/03/2020",,"Custeio","Agrícola","LAVOURA","TRIGO SARRACENO/MOURISCO","NÃO SE APLICA","Safra de Verão (1ª Safra)","Não zoneado","Hectare","Tonelada","Não consorciado",0,3
"12017110000013","26/03/2020",,"Custeio","Agrícola","LAVOURA","TRIGO SARRACENO/MOURISCO","NÃO SE APLICA","Safra de Verão (1ª Safra)",,"Hectare","Tonelada","Não consorciado",0,3
"12017100000832","01/01/1984",,"Custeio","Agrícola","LAVOURA","TRIGO","NÃO SE APLICA","Safra de Inverno (3ª Safra)","Não zoneado","Hectare","Tonelada","Consorciado",0,3
"12017100000052","01/01/1984",,"Custeio","Agrícola","LAVOURA","TRIGO","NÃO SE APLICA","Irrigadas","Não zoneado","Hectare","Tonelada","Não consorciado",0,3
"12017100000051","10/03/2004",,"Custeio","Agrícola","LAVOURA","TRIGO","NÃO SE APLICA","Irrigadas","Zoneado","Hectare","Tonelada","Não consorciado",0,3
"12017100000032","01/01/1984",,"Custeio","Agrícola","LAVOURA","TRIGO","NÃO SE APLICA","Safra de Inverno (3ª Safra)","Não zoneado","Hectare","Tonelada","Não consorciado",0,3
"12017100000031","12/02/1996",,"Custeio","Agrícola","LAVOURA","TRIGO","NÃO SE APLICA","Safra de Inverno (3ª Safra)","Zoneado","Hectare","Tonelada","Não consorciado",0,3
"12017100000033","28/01/2021",,"Custeio","Agrícola","LAVOURA","TRIGO","NÃO SE APLICA","Safra de Inverno (3ª Safra)",,"Hectare","Tonelada","Não consorciado",0,3
"12017100000053","03/02/2021",,"Custeio","Agrícola","LAVOURA","TRIGO","NÃO SE APLICA","Irrigadas",,"Hectare","Tonelada","Não consorciado",0,3
"12016960000052","18/06/2010",,"Custeio","Agrícola","LAVOURA","TORANJA","NÃO SE APLICA","Irrigadas","Não zoneado","Hectare","Tonelada","Não consorciado",0,2
"12016960000041","18/06/2010",,"Custeio","Agrícola","LAVOURA","TORANJA","NÃO SE APLICA","Fruticultura / Olericultura","Zoneado","Hectare","Tonelada","Não consorciado",0,2
"12016960000053","03/02/2021",,"Custeio","Agrícola","LAVOURA","TORANJA","NÃO SE APLICA","Irrigadas",,"Hectare","Tonelada","Não consorciado",0,2
"12016940000852","01/01/1984",,"Custeio","Agrícola","LAVOURA","TOMATE","NÃO SE APLICA","Irrigadas","Não zoneado","Hectare","Tonelada","Consorciado",0,1
"12016940000842","01/01/1984",,"Custeio","Agrícola","LAVOURA","TOMATE","NÃO SE APLICA","Fruticultura / Olericultura","Não zoneado","Hectare","Tonelada","Consorciado",0,1
"12016900000042","01/01/1984",,"Custeio","Agrícola","LAVOURA","TAPEREBÁ","NÃO SE APLICA","Fruticultura / Olericultura","Não zoneado","Hectare","Tonelada","Não consorciado",0,2
"12016780000051","01/07/2015",,"Custeio","Agrícola","LAVOURA","TANGERINA","NÃO SE APLICA","Irrigadas","Zoneado","Hectare","Tonelada","Não consorciado",0,2
"12016780000043","16/03/2017",,"Custeio","Agrícola","LAVOURA","TANGERINA","NÃO SE APLICA","Fruticultura / Olericultura",,"Hectare","Tonelada","Não consorciado",0,2
"12016780000052","18/06/2010",,"Custeio","Agrícola","LAVOURA","TANGERINA","NÃO SE APLICA","Irrigadas","Não zoneado","Hectare","Tonelada","Não consorciado",0,2
"12016780000042","01/01/1984",,"Custeio","Agrícola","LAVOURA","TANGERINA","NÃO SE APLICA","Fruticultura / Olericultura","Não zoneado","Hectare","Tonelada","Não consorciado",0,2
"12016780000041","18/06/2010",,"Custeio","Agrícola","LAVOURA","TANGERINA","NÃO SE APLICA","Fruticultura / Olericultura","Zoneado","Hectare","Tonelada","Não consorciado",0,2
"12016780000053","03/02/2021",,"Custeio","Agrícola","LAVOURA","TANGERINA","NÃO SE APLICA","Irrigadas",,"Hectare","Tonelada","Não consorciado",0,2
"12016777000042","01/01/2015",,"Custeio","Agrícola","LAVOURA","TAIOBA","NÃO SE APLICA","Fruticultura / Olericultura","Não zoneado","Hectare","Unidade","Não consorciado",0,4
"12016777000052","01/01/2015",,"Custeio","Agrícola","LAVOURA","TAIOBA","NÃO SE APLICA","Irrigadas","Não zoneado","Hectare","Unidade","Não consorciado",0,4
"12016740000013","16/03/2017",,"Custeio","Agrícola","LAVOURA","SORGO","NÃO SE APLICA","Safra de Verão (1ª Safra)",,"Hectare","Tonelada","Não consorciado",0,3
"12016740000023","16/03/2017",,"Custeio","Agrícola","LAVOURA","SORGO","NÃO SE APLICA","Safrinha (2ª Safra)",,"Hectare","Tonelada","Não consorciado",0,3
"12016740000812","01/01/1984",,"Custeio","Agrícola","LAVOURA","SORGO","NÃO SE APLICA","Safra de Verão (1ª Safra)","Não zoneado","Hectare","Tonelada","Consorciado",0,3
"12016740000052","07/07/2005",,"Custeio","Agrícola","LAVOURA","SORGO","NÃO SE APLICA","Irrigadas","Não zoneado","Hectare","Tonelada","Não consorciado",0,3
"12016740000022","01/01/1984",,"Custeio","Agrícola","LAVOURA","SORGO","NÃO SE APLICA","Safrinha (2ª Safra)","Não zoneado","Hectare","Tonelada","Não consorciado",0,3
"12016740000012","01/01/1984",,"Custeio","Agrícola","LAVOURA","SORGO","NÃO SE APLICA","Safra de Verão (1ª Safra)","Não zoneado","Hectare","Tonelada","Não consorciado",0,3
"12016740000011","01/07/2012",,"Custeio","Agrícola","LAVOURA","SORGO","NÃO SE APLICA","Safra de Verão (1ª Safra)","Zoneado","Hectare","Tonelada","Não consorciado",0,3
"12016740000051","04/04/2019",,"Custeio","Agrícola","LAVOURA","SORGO","NÃO SE APLICA","Irrigadas","Zoneado","Hectare","Tonelada","Não consorciado",0,3
"12016740000053","03/02/2021",,"Custeio","Agrícola","LAVOURA","SORGO","NÃO SE APLICA","Irrigadas",,"Hectare","Tonelada","Não consorciado",0,3
"12016720000052","01/01/1984",,"Custeio","Agrícola","LAVOURA","SOJA","NÃO SE APLICA","Irrigadas","Não zoneado","Hectare","Tonelada","Não consorciado",0,3
"12016720000013","23/02/2017",,"Custeio","Agrícola","LAVOURA","SOJA","NÃO SE APLICA","Safra de Verão (1ª Safra)",,"Hectare","Tonelada","Não consorciado",0,3
"12016720000023","23/02/2017","25/06/2020","Custeio","Agrícola","LAVOURA","SOJA","NÃO SE APLICA","Safrinha (2ª Safra)",,"Hectare","Tonelada","Não consorciado",0,3
