#CODIGO,DESCRICAO,DATA_INICIO,DATA_FIM
"0000","Indicador de renegociação","01/01/2013",
"0020","ABACATE","14/05/2012",
"0040","ABACAXI","14/05/2012",
"0060","ABELHA","14/05/2012",
"0080","ABÓBORA-MORANGA","14/05/2012",
"0100","ABOBRINHA","14/05/2012",
"0110","ABRICÓ (DAMASCO)","01/01/2014","31/12/2099"
"0120","ACÁCIA NEGRA","14/05/2012",
"0140","AÇAFRÃO","14/05/2012",
"0160","AÇAÍ","14/05/2012",
"0300","ACELGA","14/05/2012",
"0320","ACEROLA","14/05/2012",
"0340","AÇUCAR","14/05/2012",
"0341","ADIANTAMENTOS A COOPERADOS POR CONTA DE PRODUTOS ENTREGUES PARA VENDA","01/12/2016","31/12/2099"
"0360","ADUBAÇÃO INTENSIVA DO SOLO","14/05/2012",
"0370","ERVA-DOCE","04/04/2019",
"0380","AGAVE (SISAL)","14/05/2012",
"0400","AGRIÃO","14/05/2012",
"0420","AGROARTESANATO","14/05/2012",
"0440","AGROINDÚSTRIA","14/05/2012",
"0460","AIPO","14/05/2012",
"0480","ALCACHOFRA","14/05/2012",
"0500","ÁLCOOL","14/05/2012",
"0520","ALFACE","14/05/2012",
"0540","ALFAFA","14/05/2012",
"0560","ALGODÃO","14/05/2012",
"0565","CAROÇO DE ALGODÃO","01/11/2016",
"0570","Algas","07/08/2013",
"0580","ALHO","14/05/2012",
"0590","ALHO PORÓ","01/01/2015","31/12/2099"
"0600","ALMEIRÃO","14/05/2012",
"0620","AMEIXA","14/05/2012",
"0640","AMENDOIM","14/05/2012",
"0650","AMÊNDOA","10/07/2017",
"0660","AMORA","14/05/2012",
"0680","ANDIROBA","14/05/2012",
"0800","ANIMAIS SILVESTRES","14/05/2012",
"0820","APICULTURA","14/05/2012",
"0830","CALAGEM, FERTILIZANTES E ADUBAÇÃO ORGÂNICA E MINERAL","01/01/2014",
"0840","AQUISIÇÃO DE INSUMOS","14/05/2012",
"0841","AQUISIÇÃO DE INSUMOS PARA FORNECIMENTO AOS COOPERADOS","01/12/2016","31/12/2099"
"0842","AQUISIÇÃO DE BENS PARA FORNECIMENTO AOS COOPERADOS","01/12/2016","31/12/2099"
"0843","AQUISIÇÃO DE BENS PARA PRESTAÇÃO DE SERVIÇOS EXCLUSIVAMENTE EM EXPLORAÇÕES RURAIS","01/12/2016","31/12/2099"
"0844","AQUISIÇÃO DE UTENSÍLIOS DOMÉSTICOS PARA USO EM MEIO RURAL","10/02/2017",
"0845","AQUISIÇÃO DE EQUIPAMENTOS PARA MANUTENÇÃO DE VEÍCULOS","10/02/2017",
"0846","AQUISIÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E TELECOMUNICAÇÕES","10/02/2017",
"0847","AQUISIÇÃO DE AQUECEDORES, GERADORES, INCINERADORES, COMPRESSORES, VENTILADORES E APAR. DE AR CONDIC.","10/02/2017",
"0848","AQUISIÇÃO DE EQUIPAMENTOS PARA MOLDAGEM, TORNOS, MOINHOS E PRENSA","10/02/2017",
"0849","AQUISIÇÃO DE MOTORES E ELEVADORES","10/02/2017",
"0850","CERCAS, ARAMADOS, TELHAS, TELAS PARA SOMBREAMENTO E COBERTURAS DE SOLO","01/01/2014",
"0851","AQUISIÇÃO DE DESTILADORES, FILTROS, DEPURADORES E DOSADORES","10/02/2017",
"0852","AQUISIÇÃO DE FERRAMENTAS E TUBOS","10/02/2017",
"0853","AQUISIÇÃO DE MATERIAL DE ESTOCAGEM/TRANSPORTE/SACARIA/CAIXAS","10/02/2017",
"0854","AQUISIÇÃO DE MAQUINA(S)/EQUIPAMENTO(S) PARA EXTRAÇÃO/FABRICAÇÃO","10/02/2017",
"0855","AQUISIÇÃO DE EMPILHADEIRA(S)/TOMBADORA(S)","10/02/2017",
"0856","AQUISIÇÃO DE EQUIPAMENTO(S) TOPOGRAFICO(S)","10/02/2017",
"0857","EQUIPAMENTOS E UTENSILIOS PARA AGRICULTURA DE PRECISÃO","11/05/2017","31/12/2099"
"0858","AQUISIÇÃO DE FERRAMENTA PORTÁTIL MANUAL PARA TRATOS CULTURAIS","30/05/2018",
"0859","Aquisição de sêmen, óvulos e embriões de animais","22/07/2021",
"0860","ARAUCÁRIA","14/05/2012",
"0880","ARMAZÉM","14/05/2012",
"0900","ARROZ","14/05/2012",
"0920","ASININOS","14/05/2012",
"0940","ASPARGO","14/05/2012",
"0960","ATEMOIA","14/05/2012",
"0980","ATIVIDADE RURAL GERADORA DE RENDA PARA UNIDADE FAMILIAR","14/05/2012",
"1000","AVEIA","14/05/2012",
"1020","AVES","14/05/2012",
"1030","AVES EXÓTICAS (GALINHA D'ANGOLA, CODORNA, FAISÃO)","16/04/2018",
"1040","AVESTRUZ","14/05/2012",
"1060","AVIAÇÃO AGRÍCOLA","14/05/2012",
"1070","Instalações para Aves, Suínos e Coelhos","26/02/2020",
"1080","AVICULTURA","14/05/2012",
"1100","AVIÕES","14/05/2012",
"1120","AZEVEM","14/05/2012",
"1140","BABAÇU","14/05/2012",
"1160","BANANA","14/05/2012",
"1170","BARU","14/05/2012",
"1175","BASE PARA BALANÇA","13/04/2020",
"1180","BATATA","14/05/2012",
"1200","BATATA-DOCE","14/05/2012",
"1220","BATATA-INGLESA","14/05/2012",
"1234","NEEM","07/07/2020",
"1240","BERINJELA","14/05/2012",
"1260","BETERRABA","14/05/2012",
"1280","BICHO-DA-SEDA","14/05/2012",
"1290","BICICLETAS","01/01/2014",
"1300","BOVINOS","14/05/2012",
"1320","BRACATINGA","14/05/2012",
"1360","BRÓCOLOS (BRÓCOLIS)","14/05/2012",
"1380","BUCHA VEGETAL","14/05/2012",
"1390","Bambu","05/02/2018",
"1400","BÚFALOS (BUBALINOS)","14/05/2012",
"1410","BURITI","31/10/2018",
"1420","CACAU","14/05/2012",
"1580","CAFÉ","14/05/2012",
"1770","CAJÁ","01/01/2014",
"1780","CAJU","14/05/2012",
"1790","CAMARÃO E/OU LAGOSTA","08/05/2018",
"1800","CAMINHÕES","14/05/2012",
"1820","CAMIONETAS","14/05/2012",
"1840","CANA-DE-AÇUCAR","14/05/2012",
"1850","CANINOS","08/08/2019",
"1860","CANOLA","14/05/2012",
"1880","CAPIM","14/05/2012",
"1890","BRAQUIÁRIA","01/01/2013",
"1900","CAPITAL DE GIRO","14/05/2012",
"1920","CAPRINOS","14/05/2012",
"1940","CAQUI","14/05/2012",
"1960","CARÁ","14/05/2012",
"1980","CARAMBOLA","14/05/2012",
"2000","CARCINICULTURA","14/05/2012",
"2020","CARNAÚBA","14/05/2012",
"2040","CARRETAS, CARROÇAS E VAGÕES DE CARGA, FORRAGEIROS E DEMAIS","14/05/2012",
"2080","CASTANHA-DO-BRASIL","14/05/2012",
"2085","CASTANHA DE CAJU","24/06/2019",
"2090","CASTANHA DE BARU","27/07/2018",
"2200","CEBOLA","14/05/2012",
"2220","CEBOLINHA VERDE","14/05/2012",
"2230","CEBOLINHA","04/08/2017",
"2240","CEDRO","14/05/2012",
"2280","CENOURA","14/05/2012",
"2300","CENTEIO","14/05/2012",
"2310","CEREJA","01/01/2014",
"2320","CEVADA","14/05/2012",
"2340","CHÁ","14/05/2012",
"2345","CHIA","09/03/2018",
"2350","CHAMPIGNON","23/10/2017",
"2360","CHERIMOIA","14/05/2012",
"2380","CHICORIA","14/05/2012",
"2400","CHINCHILAS","14/05/2012",
"2420","CHUCHU","14/05/2012",
"2440","CIDRA","14/05/2012",
"2560","COCO","14/05/2012",
"2620","COCO-DA-BAIA","14/05/2012",
"2640","COELHO","14/05/2012",
"2660","COENTRO","14/05/2012",
"2680","COGUMELO","14/05/2012",
"2700","COLHEITADEIRAS, COLHEDEIRAS E ARRANCADEIRAS","14/05/2012",
"2710","COPAÍBA","31/10/2018",
"2720","COLZA","14/05/2012",
"2730","COBERTURAS DE SOLO (PLÁSTICAS, TNT, TECIDOS, SERRAGEM, PALHADAS DE CAPIM E DE GRÃOS ETC)","01/01/2014",
"2740","CORREÇÃO INTENSIVA DO SOLO","14/05/2012",
"2760","CORREÇÃO NÃO INTENSIVA","14/05/2012",
"2780","COURO","14/05/2012",
"2800","COUVE","14/05/2012",
"2820","COUVE-FLOR","14/05/2012",
"2840","CRAVO","14/05/2012",
"2860","CRAVO-DA-ÍNDIA","01/01/2014","31/12/2099"
"2880","CRISÂNTEMO","14/05/2012",
"2890","CROTALÁRIA","22/07/2021",
"2900","CRUSTÁCEOS","14/05/2012",
"2920","CULTIVADOR","14/05/2012",
"2940","CULTIVADORES MOTORIZADOS","14/05/2012",
"2960","CUNICULTURA","14/05/2012",
"2980","CUPUAÇU","14/05/2012",
"3080","CURAUÁ","14/05/2012",
"3100","CUSTEIO DE MODALIDADE NÃO AGROPECUÁRIA","14/05/2012",
"3120","Prestação de Assesoria Técnica e Empresarial; Consultoria e Elaboração de projetos e treinamentos","14/05/2012",
"3140","DENDÊ","14/05/2012",
"3160","DEPÓSITO E INSTALAÇÕES CONGÊNERES","14/05/2012",
"3170","CÂMARA FRIA PARA ARMAZENAMENTO DE FRUTAS","17/09/2021",
"3180","ARMAZÉM, DEPÓSITO, SILO, GALPÃO, PAIOL, ESTUFA E INSTALAÇÕES CONGÊNERES","14/05/2012",
"3200","DESBRAVAMENTO DE GLEBAS RURAIS","14/05/2012",
"3220","DESMATAMENTO","14/05/2012",
"3240","DESPOLPADOR","14/05/2012",
"3260","DESTOCA","14/05/2012",
"3280","ELETRIFICAÇÃO RURAL","14/05/2012",
"3300","EMBARCAÇÕES","14/05/2012",
"3320","EQUINOS","14/05/2012",
"3330","IRRIGAÇÃO/LIXIVIAÇÃO (GOTEJADOR, ASPERSOR, NEBULIZADOR, EXAUSTOR, VENTILADOR, MANGUEIRAS, CANAIS ET)","01/01/2014",
"3340","ERRADICAÇÃO DE CAFEZAIS","14/05/2012",
"3360","ERVA CIDREIRA (MELISSA)","14/05/2012",
"3380","ERVA-MATE","14/05/2012",
"3400","ERVILHA","14/05/2012",
"3410","ERVILHACA - RALIÇA, VICIA SATIVA","03/05/2019",
"3420","ESCAROLA","14/05/2012",
"3440","ESCOLAS RURAIS","14/05/2012",
"3450","ESSÊNCIA FLORESTAL","18/07/2017",
"3456","Balança para Animais","14/09/2020",
"3460","ESPINAFRE","14/05/2012",
"3470","ESTILOSANTES","28/07/2017",
"3480","ESTÉVIA","14/05/2012",
"3490","ESTUFAS/VIVEIROS (ILUMIN. ARTIFICIAL, MUDAS, SEMENTES, SACOS, TALAGARÇAS, BANDEJAS, VASOS)","01/01/2014","31/12/2099"
"3500","EUCALIPTO","14/05/2012",
"3520","FARELOS PROTEICOS E/OU RAÇÕES BALANCEADAS","14/05/2012",
"3540","FAVA","14/05/2012",
"3550","HIDROPONIA/FAZENDA VERTICAL (ALVENARIA, MADEIRA, AÇO, ETC)","01/01/2014",
"3560","FEIJÃO","14/05/2012",
"3580","FIGO","14/05/2012",
"3600","FLORES","14/05/2012",
"3620","FLORESTAMENTO E REFLORESTAMENTO","14/05/2012",
"3630","FLORESTAMENTO - TRATOS CULTURAIS","19/10/2017",
"3640","FRANGO","14/05/2012",
"3645","CERTIFICAÇÃO FLORESTAL","16/08/2021","31/12/2099"
"3650","FRAMBOESA","01/01/2014",
"3660","FRUTAS DIVERSAS N. E.","14/05/2012",
"3680","FUMO","14/05/2012",
"3700","FUNDIÁRIOS","14/05/2012",
"3720","GENGIBRE","14/05/2012",
"3740","GERGELIM","14/05/2012",
"3760","GIRASSOL","14/05/2012",
"3780","GOIABA","14/05/2012",
"3800","GRAMA","14/05/2012",
"3820","GRANJAS AVÍCOLAS","14/05/2012",
"3821","GRANJAS DE SUÍNOS","12/03/2020",
"3830","GALINÁCEOS","02/05/2018","31/12/2099"
"3835","AVES EXCETO GALINÁCEOS","02/05/2018","31/12/2099"
"3840","GRÃO-DE-BICO","14/05/2012",
"3860","GRAVIOLA","14/05/2012",
