#CODIGO_PROGRAMA,DESCRICAO_PROGRAMA,CODIGO_FINALIDADE,FINALIDADE,CODIGO_ATIVIDADE,ATIVIDADE,CODIGO_MODALIDADE,MODALIDADE
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","3","Investimento","1","Agrícola","10","PASTAGEM"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","3","Investimento","2","Pecuário(a)","37","BOVINOCULTURA"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","2","Pecuário(a)","56","MINHOCULTURA"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","2","Pecuário(a)","96","ESTIAGEM - Resolução 4802/2020"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","1","Agrícola","96","ESTIAGEM - Resolução 4802/2020"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","2","Pecuário(a)","95","COVID-19 - Resolução 4801/2020"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","1","Agrícola","95","COVID-19 - Resolução 4801/2020"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","3","Investimento","2","Pecuário(a)","10","PASTAGEM"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","1","Agrícola","80","PESQUISA E ASSISTÊNCIA AGROPECUÁRIA"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","2","Pecuário(a)","77","OVINOCULTURA"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","2","Pecuário(a)","73","EQUINOCULTURA"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","2","Pecuário(a)","63","BUBALINOCULTURA"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","2","Pecuário(a)","75","CUNICULTURA E DEMAIS ROEDORES"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","2","Pecuário(a)","67","CAPRINOCULTURA"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","2","Pecuário(a)","65","SERICICULTURA"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","2","Pecuário(a)","55","APICULTURA"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","2","Pecuário(a)","39","AVICULTURA"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","2","Pecuário(a)","38","SUINOCULTURA"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","2","Pecuário(a)","37","BOVINOCULTURA"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","4",,"1","Agrícola","05","AQUISIÇÃO DE INSUMOS PARA INDÚSTRIA FAMILIAR"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","1","Agrícola","10","PASTAGEM"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0",,"0",,"00","Indicador de renegociação"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","1","Agrícola","11","FLORESTAMENTO E REFLORESTAMENTO"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","3","Investimento","1","Agrícola","11","FLORESTAMENTO E REFLORESTAMENTO"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","2","Pecuário(a)","10","PASTAGEM"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","2","Custeio","2","Pecuário(a)","05","AQUISIÇÃO DE INSUMOS PARA INDÚSTRIA FAMILIAR"
