NOMEREGIAO1,NOMEESTADO,ATIVIDADE1,AreaCusteio,QTDCUSTEIO,VLCUSTEIO,AreaInvestimento,QTDINVESTIMENTO,VLINVESTIMENTO,QTDCOMERCIALIZACAO,VLCOMERCIALIZACAO,QTDINDUSTRIALIZACAO,VLINDUSTRIALIZACAO,AREATOTAL,QTDTOTAL,VLRTOTAL,AreaCusteio1,Textbox28,Textbox37,AreaInvestimento1,Textbox38,Textbox39,Textbox40,Textbox41,QTDINDUSTRIALIZACAO1,VLINDUSTRIALIZACAO1,AREATOTAL1,QTDTOTAL1,VLRTOTAL1,Textbox46,Textbox31,Textbox32,Textbox53,Textbox33,Textbox34,Textbox35,Textbox36,Textbox17,Textbox48,Textbox59,Textbox4,Textbox11,Textbox47,Textbox22,Textbox23,Textbox54,Textbox24,Textbox25,Textbox26,Textbox27,Textbox42,Textbox49,Textbox60,Textbox5,Textbox12
SUL,PR,Agrícola,"31.955.239,42",1.367.103,"134.116.679.393,55","893.226,74",281.785,"44.953.820.169,24",43.272,"28.842.996.373,99",1.040,"14.646.482.217,24","32.848.466,16",1.693.200,"222.559.978.154,02","60.306.824,00",1.603.103,"164.527.757.938,52","1.271.042,32",487.451,"67.374.300.009,71",44.343,"32.072.828.568,89",1.743,"32.302.389.904,46","61.577.866,32",2.136.640,"296.277.276.421,58","112.536.978,37",5.308.246,"378.321.850.767,04","5.661.749,64",1.530.321,"155.245.903.813,40",149.175,"96.026.592.875,96",5.000,"55.074.458.222,61","118.198.728,01",6.992.742,"684.668.805.679,01","296.240.457,09",9.165.221,"1.091.726.437.695,37","56.270.077,14",11.713.729,"542.004.797.560,83",294.968,"249.921.772.458,82",7.117,"74.319.188.362,19","352.510.534,23",21.181.035,"1.957.972.196.077,21"
SUL,PR,Pecuária,"28.351.584,58",236.000,"30.411.078.544,97","377.815,58",205.666,"22.420.479.840,47",1.071,"3.229.832.194,90",703,"17.655.907.687,22","28.729.400,16",443.440,"73.717.298.267,56","60.306.824,00",1.603.103,"164.527.757.938,52","1.271.042,32",487.451,"67.374.300.009,71",44.343,"32.072.828.568,89",1.743,"32.302.389.904,46","61.577.866,32",2.136.640,"296.277.276.421,58","112.536.978,37",5.308.246,"378.321.850.767,04","5.661.749,64",1.530.321,"155.245.903.813,40",149.175,"96.026.592.875,96",5.000,"55.074.458.222,61","118.198.728,01",6.992.742,"684.668.805.679,01","296.240.457,09",9.165.221,"1.091.726.437.695,37","56.270.077,14",11.713.729,"542.004.797.560,83",294.968,"249.921.772.458,82",7.117,"74.319.188.362,19","352.510.534,23",21.181.035,"1.957.972.196.077,21"
SUL,RS,Agrícola,"35.486.127,23",2.149.663,"120.977.817.143,07","1.894.648,90",428.562,"43.526.382.414,16",70.208,"44.344.938.428,44",1.650,"9.422.951.121,63","37.380.776,13",2.650.083,"218.272.089.107,30","41.765.542,23",2.690.691,"155.656.635.062,78","2.339.122,47",647.968,"58.722.779.373,53",82.696,"48.296.337.876,51",2.175,"13.555.731.226,65","44.104.664,70",3.423.530,"276.231.483.539,47","112.536.978,37",5.308.246,"378.321.850.767,04","5.661.749,64",1.530.321,"155.245.903.813,40",149.175,"96.026.592.875,96",5.000,"55.074.458.222,61","118.198.728,01",6.992.742,"684.668.805.679,01","296.240.457,09",9.165.221,"1.091.726.437.695,37","56.270.077,14",11.713.729,"542.004.797.560,83",294.968,"249.921.772.458,82",7.117,"74.319.188.362,19","352.510.534,23",21.181.035,"1.957.972.196.077,21"
SUL,RS,Pecuária,"6.279.415,00",541.028,"34.678.817.919,71","444.473,57",219.406,"15.196.396.959,37",12.488,"3.951.399.448,07",525,"4.132.780.105,02","6.723.888,57",773.447,"57.959.394.432,17","41.765.542,23",2.690.691,"155.656.635.062,78","2.339.122,47",647.968,"58.722.779.373,53",82.696,"48.296.337.876,51",2.175,"13.555.731.226,65","44.104.664,70",3.423.530,"276.231.483.539,47","112.536.978,37",5.308.246,"378.321.850.767,04","5.661.749,64",1.530.321,"155.245.903.813,40",149.175,"96.026.592.875,96",5.000,"55.074.458.222,61","118.198.728,01",6.992.742,"684.668.805.679,01","296.240.457,09",9.165.221,"1.091.726.437.695,37","56.270.077,14",11.713.729,"542.004.797.560,83",294.968,"249.921.772.458,82",7.117,"74.319.188.362,19","352.510.534,23",21.181.035,"1.957.972.196.077,21"
SUL,SC,Agrícola,"4.824.301,37",673.487,"27.602.462.979,38","1.934.334,41",195.331,"14.966.817.438,70",16.151,"13.365.678.304,29",864,"6.776.946.114,26","6.758.635,78",885.833,"62.711.904.836,63","10.464.612,14",1.014.452,"58.137.457.765,74","2.051.584,85",394.902,"29.148.824.430,16",22.136,"15.657.426.430,56",1.082,"9.216.337.091,50","12.516.196,99",1.432.572,"112.160.045.717,96","112.536.978,37",5.308.246,"378.321.850.767,04","5.661.749,64",1.530.321,"155.245.903.813,40",149.175,"96.026.592.875,96",5.000,"55.074.458.222,61","118.198.728,01",6.992.742,"684.668.805.679,01","296.240.457,09",9.165.221,"1.091.726.437.695,37","56.270.077,14",11.713.729,"542.004.797.560,83",294.968,"249.921.772.458,82",7.117,"74.319.188.362,19","352.510.534,23",21.181.035,"1.957.972.196.077,21"
SUL,SC,Pecuária,"5.640.310,77",340.965,"30.534.994.786,36","117.250,44",199.571,"14.182.006.991,46",5.985,"2.291.748.126,27",218,"2.439.390.977,24","5.757.561,21",546.739,"49.448.140.881,33","10.464.612,14",1.014.452,"58.137.457.765,74","2.051.584,85",394.902,"29.148.824.430,16",22.136,"15.657.426.430,56",1.082,"9.216.337.091,50","12.516.196,99",1.432.572,"112.160.045.717,96","112.536.978,37",5.308.246,"378.321.850.767,04","5.661.749,64",1.530.321,"155.245.903.813,40",149.175,"96.026.592.875,96",5.000,"55.074.458.222,61","118.198.728,01",6.992.742,"684.668.805.679,01","296.240.457,09",9.165.221,"1.091.726.437.695,37","56.270.077,14",11.713.729,"542.004.797.560,83",294.968,"249.921.772.458,82",7.117,"74.319.188.362,19","352.510.534,23",21.181.035,"1.957.972.196.077,21"
CENTRO-OESTE,MT,Agrícola,"26.422.877,66",89.252,"78.152.145.147,18","3.091.308,05",66.458,"45.404.063.492,87",7.693,"15.426.623.448,30",79,"978.759.999,79","29.514.185,71",163.482,"139.961.592.088,14","34.901.063,78",273.940,"111.874.589.372,50","6.815.037,56",218.403,"68.747.046.744,93",9.473,"15.969.706.149,37",140,"1.244.259.999,79","41.716.101,34",501.956,"197.835.602.266,59","99.362.743,43",930.032,"294.615.978.024,20","14.693.321,15",572.272,"148.911.196.425,96",32.017,"47.603.867.379,06",473,"4.950.673.412,74","114.056.064,58",1.534.794,"496.081.715.241,96","296.240.457,09",9.165.221,"1.091.726.437.695,37","56.270.077,14",11.713.729,"542.004.797.560,83",294.968,"249.921.772.458,82",7.117,"74.319.188.362,19","352.510.534,23",21.181.035,"1.957.972.196.077,21"
CENTRO-OESTE,MT,Pecuária,"8.478.186,12",184.688,"33.722.444.225,32","3.723.729,51",151.945,"23.342.983.252,06",1.780,"543.082.701,07",61,"265.500.000,00","12.201.915,63",338.474,"57.874.010.178,45","34.901.063,78",273.940,"111.874.589.372,50","6.815.037,56",218.403,"68.747.046.744,93",9.473,"15.969.706.149,37",140,"1.244.259.999,79","41.716.101,34",501.956,"197.835.602.266,59","99.362.743,43",930.032,"294.615.978.024,20","14.693.321,15",572.272,"148.911.196.425,96",32.017,"47.603.867.379,06",473,"4.950.673.412,74","114.056.064,58",1.534.794,"496.081.715.241,96","296.240.457,09",9.165.221,"1.091.726.437.695,37","56.270.077,14",11.713.729,"542.004.797.560,83",294.968,"249.921.772.458,82",7.117,"74.319.188.362,19","352.510.534,23",21.181.035,"1.957.972.196.077,21"
CENTRO-OESTE,GO,Agrícola,"19.395.848,65",130.328,"64.231.876.551,61","2.053.036,69",55.557,"25.176.412.867,98",8.647,"19.731.801.905,37",136,"2.342.253.427,30","21.448.885,34",194.668,"111.482.344.752,26","30.004.246,33",402.991,"107.381.028.214,04","4.604.118,71",236.284,"49.161.190.722,67",10.325,"22.603.230.613,88",181,"2.624.393.427,30","34.608.365,04",649.781,"181.769.842.977,89","99.362.743,43",930.032,"294.615.978.024,20","14.693.321,15",572.272,"148.911.196.425,96",32.017,"47.603.867.379,06",473,"4.950.673.412,74","114.056.064,58",1.534.794,"496.081.715.241,96","296.240.457,09",9.165.221,"1.091.726.437.695,37","56.270.077,14",11.713.729,"542.004.797.560,83",294.968,"249.921.772.458,82",7.117,"74.319.188.362,19","352.510.534,23",21.181.035,"1.957.972.196.077,21"
CENTRO-OESTE,GO,Pecuária,"10.608.397,68",272.663,"43.149.151.662,43","2.551.082,02",180.727,"23.984.777.854,69",1.678,"2.871.428.708,51",45,"282.140.000,00","13.159.479,70",455.113,"70.287.498.225,63","30.004.246,33",402.991,"107.381.028.214,04","4.604.118,71",236.284,"49.161.190.722,67",10.325,"22.603.230.613,88",181,"2.624.393.427,30","34.608.365,04",649.781,"181.769.842.977,89","99.362.743,43",930.032,"294.615.978.024,20","14.693.321,15",572.272,"148.911.196.425,96",32.017,"47.603.867.379,06",473,"4.950.673.412,74","114.056.064,58",1.534.794,"496.081.715.241,96","296.240.457,09",9.165.221,"1.091.726.437.695,37","56.270.077,14",11.713.729,"542.004.797.560,83",294.968,"249.921.772.458,82",7.117,"74.319.188.362,19","352.510.534,23",21.181.035,"1.957.972.196.077,21"
CENTRO-OESTE,MS,Agrícola,"16.509.606,40",120.280,"46.444.841.475,15","1.009.829,52",40.394,"19.148.014.364,40",10.937,"8.328.705.836,32",118,"787.781.643,55","17.519.435,92",171.729,"74.709.343.319,42","34.220.025,97",249.142,"74.240.109.498,04","3.267.461,80",115.210,"30.368.661.801,58",11.537,"8.457.662.315,29",131,"902.081.643,55","37.487.487,77",376.020,"113.968.515.258,46","99.362.743,43",930.032,"294.615.978.024,20","14.693.321,15",572.272,"148.911.196.425,96",32.017,"47.603.867.379,06",473,"4.950.673.412,74","114.056.064,58",1.534.794,"496.081.715.241,96","296.240.457,09",9.165.221,"1.091.726.437.695,37","56.270.077,14",11.713.729,"542.004.797.560,83",294.968,"249.921.772.458,82",7.117,"74.319.188.362,19","352.510.534,23",21.181.035,"1.957.972.196.077,21"
CENTRO-OESTE,MS,Pecuária,"17.710.419,57",128.862,"27.795.268.022,89","2.257.632,28",74.816,"11.220.647.437,18",600,"128.956.478,97",13,"114.300.000,00","19.968.051,85",204.291,"39.259.171.939,04","34.220.025,97",249.142,"74.240.109.498,04","3.267.461,80",115.210,"30.368.661.801,58",11.537,"8.457.662.315,29",131,"902.081.643,55","37.487.487,77",376.020,"113.968.515.258,46","99.362.743,43",930.032,"294.615.978.024,20","14.693.321,15",572.272,"148.911.196.425,96",32.017,"47.603.867.379,06",473,"4.950.673.412,74","114.056.064,58",1.534.794,"496.081.715.241,96","296.240.457,09",9.165.221,"1.091.726.437.695,37","56.270.077,14",11.713.729,"542.004.797.560,83",294.968,"249.921.772.458,82",7.117,"74.319.188.362,19","352.510.534,23",21.181.035,"1.957.972.196.077,21"
CENTRO-OESTE,DF,Agrícola,"225.926,28",3.388,"914.386.662,21","6.388,34",1.963,"562.027.057,44",654,"533.191.023,38",19,"176.438.342,10","232.314,62",6.024,"2.186.043.085,13","237.407,35",3.959,"1.120.250.939,62","6.703,08",2.375,"634.297.156,78",682,"573.268.300,52",21,"179.938.342,10","244.110,43",7.037,"2.507.754.739,02","99.362.743,43",930.032,"294.615.978.024,20","14.693.321,15",572.272,"148.911.196.425,96",32.017,"47.603.867.379,06",473,"4.950.673.412,74","114.056.064,58",1.534.794,"496.081.715.241,96","296.240.457,09",9.165.221,"1.091.726.437.695,37","56.270.077,14",11.713.729,"542.004.797.560,83",294.968,"249.921.772.458,82",7.117,"74.319.188.362,19","352.510.534,23",21.181.035,"1.957.972.196.077,21"
CENTRO-OESTE,DF,Pecuária,"11.481,07",571,"205.864.277,41","314,74",412,"72.270.099,34",28,"40.077.277,14",2,"3.500.000,00","11.795,81",1.013,"321.711.653,89","237.407,35",3.959,"1.120.250.939,62","6.703,08",2.375,"634.297.156,78",682,"573.268.300,52",21,"179.938.342,10","244.110,43",7.037,"2.507.754.739,02","99.362.743,43",930.032,"294.615.978.024,20","14.693.321,15",572.272,"148.911.196.425,96",32.017,"47.603.867.379,06",473,"4.950.673.412,74","114.056.064,58",1.534.794,"496.081.715.241,96","296.240.457,09",9.165.221,"1.091.726.437.695,37","56.270.077,14",11.713.729,"542.004.797.560,83",294.968,"249.921.772.458,82",7.117,"74.319.188.362,19","352.510.534,23",21.181.035,"1.957.972.196.077,21"
SUDESTE,MG,Agrícola,"12.113.295,27",640.474,"89.622.336.793,31","9.202.236,58",392.132,"33.458.771.166,31",25.026,"31.658.346.497,36",513,"4.434.794.341,49","21.315.531,85",1.058.145,"159.174.248.798,47","19.793.257,34",1.113.262,"136.189.379.810,16","11.201.001,59",1.369.792,"62.925.662.538,08",34.121,"40.711.509.951,22",774,"5.943.569.902,68","30.994.258,93",2.517.949,"245.770.122.202,14","39.484.071,48",1.829.547,"272.666.512.766,55","12.639.474,43",1.759.408,"112.215.017.675,12",96.600,"91.616.388.417,21",1.278,"12.964.605.962,19","52.123.545,91",3.686.833,"489.462.524.821,07","296.240.457,09",9.165.221,"1.091.726.437.695,37","56.270.077,14",11.713.729,"542.004.797.560,83",294.968,"249.921.772.458,82",7.117,"74.319.188.362,19","352.510.534,23",21.181.035,"1.957.972.196.077,21"
SUDESTE,MG,Pecuária,"7.679.962,07",472.788,"46.567.043.016,85","1.998.765,01",977.660,"29.466.891.371,77",9.095,"9.053.163.453,86",261,"1.508.775.561,19","9.678.727,08",1.459.804,"86.595.873.403,67","19.793.257,34",1.113.262,"136.189.379.810,16","11.201.001,59",1.369.792,"62.925.662.538,08",34.121,"40.711.509.951,22",774,"5.943.569.902,68","30.994.258,93",2.517.949,"245.770.122.202,14","39.484.071,48",1.829.547,"272.666.512.766,55","12.639.474,43",1.759.408,"112.215.017.675,12",96.600,"91.616.388.417,21",1.278,"12.964.605.962,19","52.123.545,91",3.686.833,"489.462.524.821,07","296.240.457,09",9.165.221,"1.091.726.437.695,37","56.270.077,14",11.713.729,"542.004.797.560,83",294.968,"249.921.772.458,82",7.117,"74.319.188.362,19","352.510.534,23",21.181.035,"1.957.972.196.077,21"
