Produto;UF/Regiões amparadas;Vigência Inicial;Vigência Final;Unidade Comercialização;Preço Mínimo
MILHO;AC;JAN-2023;DEZ-2023;60 kg;72,51
MILHO;AC;JAN-2022;DEZ-2022;60 kg;34,97
MILHO;AC;JAN-2021;DEZ-2021;60 kg;27,66
MILHO;AC;JAN-2020;DEZ-2020;60 kg;24,27
MILHO;AC;JAN-2019;DEZ-2019;60 kg;24,99
MILHO;AC;JAN-2018;DEZ-2018;60 kg;20,85
MILHO;AC;JAN-2017;DEZ-2017;60 kg;21,60
MILHO;AC;JAN-2016;DEZ-2016;60 kg;21,60
MILHO;AC;JAN-2015;DEZ-2015;60 kg;21,60
MILHO;AC;JUN-2014;MAI-2015;60 kg;36,00
MILHO;AC;JAN-2014;DEZ-2014;60 kg;21,60
MILHO;AL;JUL-2023;JUN-2024;60 kg;57,75
MILHO;AL;JUN-2022;MAI-2023;60 kg;35,43
MILHO;AL;JUN-2021;MAI-2022;60 kg;27,66
MILHO;AL;JUN-2020;MAI-2021;60 kg;24,27
MILHO;AL;JUN-2019;MAI-2020;60 kg;24,99
MILHO;AL;JUN-2018;MAI-2019;60 kg;24,99
MILHO;AL;JUN-2017;MAI-2018;60 kg;24,99
MILHO;AL;JUN-2016;MAI-2017;60 kg;24,99
MILHO;AL;JUN-2015;MAI-2016;60 kg;24,99
MILHO;AL;JUN-2014;MAI-2015;60 kg;41,65
MILHO;AL;JUN-2014;MAI-2015;60 kg;24,99
MILHO;AM;JAN-2023;DEZ-2023;60 kg;72,51
MILHO;AM;JAN-2022;DEZ-2022;60 kg;34,97
MILHO;AM;JAN-2021;DEZ-2021;60 kg;27,66
MILHO;AM;JAN-2020;DEZ-2020;60 kg;24,27
MILHO;AM;JAN-2019;DEZ-2019;60 kg;24,99
MILHO;AM;JAN-2018;DEZ-2018;60 kg;20,85
MILHO;AM;JAN-2017;DEZ-2017;60 kg;21,60
MILHO;AM;JAN-2016;DEZ-2016;60 kg;21,60
MILHO;AM;JAN-2015;DEZ-2015;60 kg;21,60
MILHO;AM;JUN-2014;MAI-2015;60 kg;36,00
MILHO;AM;JAN-2014;DEZ-2014;60 kg;21,60
MILHO;AP;JAN-2023;DEZ-2023;60 kg;72,51
MILHO;AP;JAN-2022;DEZ-2022;60 kg;34,97
MILHO;AP;JAN-2021;DEZ-2021;60 kg;27,66
MILHO;AP;JAN-2020;DEZ-2020;60 kg;24,27
MILHO;AP;JAN-2019;DEZ-2019;60 kg;24,99
MILHO;AP;JAN-2018;DEZ-2018;60 kg;20,85
MILHO;AP;JAN-2017;DEZ-2017;60 kg;21,60
MILHO;AP;JAN-2016;DEZ-2016;60 kg;21,60
MILHO;AP;JAN-2015;DEZ-2015;60 kg;21,60
MILHO;AP;JUN-2014;MAI-2015;60 kg;36,00
MILHO;AP;JAN-2014;DEZ-2014;60 kg;21,60
MILHO;BA;JAN-2023;DEZ-2023;60 kg;53,13
MILHO;BA;JAN-2022;DEZ-2022;60 kg;28,26
MILHO;BA;JAN-2021;DEZ-2021;60 kg;23,52
MILHO;BA;JAN-2020;DEZ-2020;60 kg;22,59
MILHO;BA;JUN-2019;DEZ-2019;60 kg;24,99
MILHO;BA;JUN-2018;MAI-2019;60 kg;24,99
MILHO;BA;JUN-2017;MAI-2018;60 kg;24,99
MILHO;BA;JAN-2017;MAI-2017;60 kg;24,99
MILHO;BA;JAN-2016;DEZ-2016;60 kg;24,99
MILHO;BA;JAN-2015;DEZ-2015;60 kg;24,99
MILHO;BA;JUN-2014;DEZ-2014;60 kg;24,99
MILHO;BA;JAN-2014;MAI-2014;60 kg;20,76
MILHO;BA (EXCETO OESTE DA BA);JAN-2020;DEZ-2020;60 kg;22,59
MILHO;BA (EXCETO OESTE DA BA);JUN-2019;MAI-2020;60 kg;24,99
MILHO;BA (EXCETO OESTE DA BA);JUN-2018;MAI-2019;60 kg;24,99
MILHO;BA (EXCETO OESTE DA BA);JUN-2017;MAI-2018;60 kg;24,99
MILHO;BA (EXCETO OESTE DA BA);JUN-2016;MAI-2017;60 kg;24,99
MILHO;BA (EXCETO OESTE DA BA);JUN-2015;MAI-2016;60 kg;24,99
MILHO;BA (EXCETO OESTE DA BA);JUN-2014;MAI-2015;60 kg;41,65
MILHO;BA (EXCETO OESTE DA BA);JUN-2014;MAI-2015;60 kg;24,99
MILHO;CE;JUL-2023;JUN-2024;60 kg;57,75
MILHO;CE;JUN-2022;MAI-2023;60 kg;35,43
MILHO;CE;JUN-2021;MAI-2022;60 kg;27,66
MILHO;CE;JUN-2020;MAI-2021;60 kg;24,27
MILHO;CE;JUN-2019;MAI-2020;60 kg;24,99
MILHO;CE;JUN-2018;MAI-2019;60 kg;24,99
MILHO;CE;JUN-2017;MAI-2018;60 kg;24,99
MILHO;CE;JUN-2016;MAI-2017;60 kg;24,99
MILHO;CE;JUN-2015;MAI-2016;60 kg;24,99
MILHO;CE;JUN-2014;MAI-2015;60 kg;41,65
MILHO;CE;JUN-2014;MAI-2015;60 kg;24,99
MILHO;DF;JAN-2023;DEZ-2023;60 kg;55,20
MILHO;DF;JAN-2022;DEZ-2022;60 kg;31,34
MILHO;DF;JAN-2021;DEZ-2021;60 kg;26,28
MILHO;DF;JAN-2020;DEZ-2020;60 kg;24,51
MILHO;DF;JAN-2019;DEZ-2019;60 kg;21,62
MILHO;DF;JAN-2018;DEZ-2018;60 kg;19,47
